ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
09,002,0001,090020005226,2,09-002-0001-00,00128,24,04,09002000522601,01,1,3,27,09,2019,0501,999,425,2,,,,,,5
09,002,0001,090020005279,2,09-002-0001-00,00128,24,04,09002000527901,01,1,1,20,01,2017,0101,999,221,3,05,2019,0301,1,04,5
09,003,0001,090030000070,2,09-003-0001-00,00002,34,01,09003000007001,01,1,1,17,09,2019,0501,009,419,2,,,,,,5
09,003,0001,090030000089,2,09-003-0001-00,00002,34,02,09003000008901,01,1,1,33,01,2020,0301,009,211,2,,,,,,5
09,003,0001,090030000096,2,09-003-0001-00,00002,34,04,09003000009601,01,1,1,33,07,2019,0301,009,418,2,,,,,,5
09,003,0001,090030000103,2,09-003-0001-00,00002,34,02,09003000010301,01,1,1,52,09,2019,0402,009,215,2,,,,,,5
09,003,0001,090030000110,2,09-003-0001-00,00002,34,01,09003000011001,01,1,1,76,12,2018,0501,009,415,3,08,2019,0102,1,01,5
09,003,0001,090030000110,2,09-003-0001-00,00002,34,01,09003000011002,02,1,3,64,12,2018,0501,009,415,3,08,2019,0102,1,02,5
09,003,0001,090030000116,2,09-003-0001-00,00002,34,02,09003000011601,01,1,1,999,99,9999,9999,999,999,9,,,,,,5
09,003,0001,090030000148,2,09-003-0001-00,00003,35,04,09003000014801,01,1,1,29,10,2017,0501,009,402,2,,,,,,5
09,003,0001,090030000160,2,09-003-0001-00,00003,35,02,09003000016001,01,1,1,19,10,2017,0102,009,419,3,04,2018,0103,1,03,5
09,003,0001,090030000172,2,09-003-0001-00,00003,35,01,09003000017201,01,1,1,79,12,2019,0101,009,214,2,,,,,,5
09,003,0001,090030000184,2,09-003-0001-00,00003,35,01,09003000018401,01,1,1,25,06,2016,0501,009,501,2,,,,,,5
09,003,0001,090030000192,2,09-003-0001-00,00003,35,02,09003000019201,01,1,3,25,09,2018,0501,009,439,2,,,,,,5
09,003,0001,090030000192,2,09-003-0001-00,00003,35,02,09003000019202,02,1,3,30,04,2019,0101,009,213,3,02,2020,0301,3,,5
09,003,0001,090030000227,2,09-003-0001-00,00004,34,04,09003000022701,01,1,1,19,12,2018,0102,009,221,1,,,,,,5
09,003,0001,090030000236,2,09-003-0001-00,00005,36,01,09003000023601,01,1,3,25,08,2018,0501,009,408,3,09,2019,0501,1,03,5
09,003,0001,090030000268,2,09-003-0001-00,00005,36,01,09003000026801,01,1,1,21,01,2019,0501,009,221,3,06,2019,0501,1,03,5
09,003,0001,090030000268,2,09-003-0001-00,00005,36,01,09003000026802,04,1,3,1,12,2019,0301,009,302,3,99,2019,0301,1,04,5
09,003,0001,090030000279,2,09-003-0001-00,00005,36,01,09003000027901,01,1,3,23,08,2017,0501,009,436,3,12,2017,0101,1,03,5
09,003,0001,090030000281,2,09-003-0001-00,00005,36,01,09003000028101,02,1,1,23,06,2015,0102,009,436,2,,,,,,5
09,003,0001,090030000286,2,09-003-0001-00,00005,36,01,09003000028601,01,1,1,52,11,9999,9999,999,999,9,,,,,,5
09,003,0001,090030000368,2,09-003-0001-00,00009,41,02,09003000036801,01,1,3,27,08,2016,0501,009,221,3,06,2018,0101,1,01,5
09,003,0001,090030000385,2,09-003-0001-00,00009,41,02,09003000038501,02,1,1,25,02,2018,0101,009,221,1,,,,,,5
09,003,0001,090030000385,2,09-003-0001-00,00009,41,02,09003000038502,01,1,1,33,06,2018,0101,009,235,2,,,,,,5
09,003,0001,090030000398,2,09-003-0001-00,00009,41,02,09003000039801,01,1,3,26,07,2016,0401,009,215,3,01,2019,0402,3,,5
09,003,0001,090030000440,2,09-003-0001-00,00009,41,04,09003000044001,01,1,1,32,04,2015,0501,009,221,3,09,2015,0501,1,03,5
09,003,0001,090030000449,2,09-003-0001-00,00009,41,04,09003000044901,01,1,3,27,09,2016,0501,009,402,2,,,,,,5
09,003,0001,090030000454,2,09-003-0001-00,00009,41,02,09003000045401,01,1,1,44,01,2017,0102,009,415,2,,,,,,5
09,003,0001,090030000454,2,09-003-0001-00,00009,41,02,09003000045402,02,1,3,40,01,2017,0401,999,415,2,,,,,,5
09,003,0001,090030000454,2,09-003-0001-00,00009,41,02,09003000045403,03,1,1,17,01,2017,0301,009,415,2,,,,,,5
09,003,0001,090030000454,2,09-003-0001-00,00009,41,02,09003000045404,05,1,1,15,01,2017,0301,009,415,2,,,,,,5
09,003,0001,090030000454,2,09-003-0001-00,00009,41,02,09003000045405,04,1,1,15,01,2017,0301,009,415,2,,,,,,5
09,003,0001,090030000461,2,09-003-0001-00,00009,41,02,09003000046101,01,1,3,21,02,2018,0501,009,402,3,08,2019,0501,1,02,5
09,003,0001,090030000545,2,09-003-0001-00,00012,35,01,09003000054501,01,1,3,24,10,2018,0102,009,117,3,11,2018,0301,1,04,5
09,003,0001,090030000580,2,09-003-0001-00,00012,35,01,09003000058001,01,1,3,36,08,2018,0809,009,213,3,01,2019,0103,1,02,5
09,003,0001,090030000585,2,09-003-0001-00,00012,35,04,09003000058501,01,1,3,43,11,2019,0101,009,402,2,,,,,,5
09,003,0001,090030000617,2,09-003-0001-00,00013,34,01,09003000061701,01,1,3,45,02,2020,0102,009,415,2,,,,,,5
09,003,0001,090030000808,2,09-003-0001-00,00022,33,02,09003000080801,01,1,3,21,01,2019,0501,009,415,3,01,2020,0501,1,02,5
09,003,0001,090030000841,2,09-003-0001-00,00023,32,04,09003000084101,01,1,3,30,07,2015,0101,009,213,2,,,,,,5
09,003,0001,090030000846,2,09-003-0001-00,00023,32,04,09003000084601,02,1,3,19,09,2019,0101,009,436,2,,,,,,5
09,003,0001,090030000846,2,09-003-0001-00,00023,32,04,09003000084602,01,1,1,22,01,2020,0501,009,436,2,,,,,,5
09,003,0001,090030000880,2,09-003-0001-00,00023,32,04,09003000088001,01,1,3,28,04,2018,0102,009,213,2,,,,,,5
09,003,0001,090030000888,2,09-003-0001-00,00023,32,01,09003000088801,01,1,1,33,10,2019,0102,009,439,2,,,,,,5
09,003,0001,090030000926,2,09-003-0001-00,00023,32,01,09003000092601,01,1,3,30,10,2018,0501,009,439,2,,,,,,5
09,003,0001,090030000928,2,09-003-0001-00,00023,32,01,09003000092801,01,1,1,30,11,2019,0501,009,213,2,,,,,,5
09,003,0001,090030000937,2,09-003-0001-00,00023,32,01,09003000093701,01,1,1,29,08,2019,0501,009,412,2,,,,,,5
09,003,0001,090030000947,2,09-003-0001-00,00023,32,01,09003000094701,01,1,3,73,11,2018,0301,009,415,2,,,,,,5
09,003,0001,090030000959,2,09-003-0001-00,00023,32,01,09003000095901,01,1,1,33,05,2019,0102,009,204,2,,,,,,5
09,003,0001,090030001175,2,09-003-0001-00,00029,34,04,09003000117501,01,1,1,26,08,2016,0102,009,221,1,,,,,,5
09,003,0001,090030001178,2,09-003-0001-00,00029,34,04,09003000117801,01,1,1,31,02,2017,0102,009,235,2,,,,,,5
09,003,0001,090030001188,2,09-003-0001-00,00029,34,04,09003000118801,01,1,3,26,08,2018,0501,009,402,2,,,,,,5
09,003,0001,090030001199,2,09-003-0001-00,00030,40,04,09003000119901,01,1,1,34,05,2018,0501,009,419,2,,,,,,5
09,003,0001,090030001250,2,09-003-0001-00,00032,34,04,09003000125001,01,1,1,35,07,2015,0501,009,415,2,,,,,,5
09,003,0001,090030001273,2,09-003-0001-00,00033,34,01,09003000127301,01,1,3,34,09,2015,0501,009,439,2,,,,,,5
09,003,0001,090030001273,2,09-003-0001-00,00033,34,01,09003000127302,02,1,3,32,09,2016,0501,009,439,2,,,,,,5
09,003,0001,090030001279,2,09-003-0001-00,00033,34,02,09003000127901,01,1,3,28,07,2018,0501,009,213,2,,,,,,5
09,003,0001,090030001313,2,09-003-0001-00,00034,33,04,09003000131301,01,1,1,34,09,2019,0501,009,221,1,,,,,,5
09,003,0001,090030001339,2,09-003-0001-00,00037,33,04,09003000133901,01,1,3,27,03,2017,0301,009,221,1,,,,,,5
09,003,0001,090030001413,2,09-003-0001-00,00041,33,01,09003000141301,01,1,3,28,11,2019,0501,009,439,2,,,,,,5
09,003,0001,090030001416,2,09-003-0001-00,00041,33,01,09003000141601,01,1,3,28,09,2019,0501,009,439,2,,,,,,5
09,003,0001,090030001418,2,09-003-0001-00,00041,33,01,09003000141801,01,1,1,19,08,2015,0501,009,221,3,99,9999,9999,9,,5
09,003,0001,090030001631,2,09-003-0001-00,00048,46,01,09003000163101,01,1,1,35,05,2015,0101,009,221,1,,,,,,5
09,003,0001,090030001687,2,09-003-0001-00,00048,46,02,09003000168701,01,1,1,24,06,2019,0301,009,221,3,07,2019,0301,3,,5
09,003,0001,090030001739,2,09-003-0001-00,00048,46,02,09003000173901,01,1,3,65,10,2018,0301,009,221,1,,,,,,5
09,003,0001,090030001798,2,09-003-0001-00,00048,46,02,09003000179801,01,1,3,27,12,2019,0101,009,221,1,,,,,,5
09,003,0001,090030001946,2,09-003-0001-00,00050,33,01,09003000194601,01,1,3,52,04,2019,0102,009,221,1,,,,,,5
09,003,0001,090030002047,2,09-003-0001-00,00051,33,02,09003000204701,01,1,1,67,12,2019,0109,009,415,2,,,,,,5
09,003,0001,090030002165,2,09-003-0001-00,00051,33,02,09003000216501,01,1,1,35,10,2015,0101,009,221,1,,,,,,5
09,003,0001,090030002212,2,09-003-0001-00,00052,33,02,09003000221201,01,1,1,61,08,2015,0809,009,221,1,,,,,,5
09,003,0001,090030002261,2,09-003-0001-00,00053,34,02,09003000226101,01,1,3,40,07,2016,0101,009,204,2,,,,,,5
09,003,0001,090030002304,2,09-003-0001-00,00054,34,04,09003000230401,01,1,1,32,12,2019,0301,009,214,2,,,,,,5
09,003,0001,090030002319,2,09-003-0001-00,00054,34,04,09003000231901,01,1,3,25,03,2019,0501,009,402,3,10,2019,0502,1,04,5
09,003,0001,090030002319,2,09-003-0001-00,00054,34,04,09003000231902,02,1,3,22,02,2018,0501,009,414,3,08,2018,0502,1,03,5
09,003,0001,090030002415,2,09-003-0001-00,00058,33,02,09003000241501,01,1,3,25,03,2015,0101,009,221,1,,,,,,5
09,003,0001,090030002665,2,09-003-0001-00,00062,34,02,09003000266501,01,1,1,30,11,2016,0501,009,419,2,,,,,,5
09,003,0001,090030002759,2,09-003-0001-00,00065,38,01,09003000275901,01,1,3,22,11,2015,0101,009,235,2,,,,,,5
09,003,0001,090030002782,2,09-003-0001-00,00066,35,01,09003000278201,01,1,1,42,01,2019,0101,009,221,1,,,,,,5
09,003,0001,090030002782,2,09-003-0001-00,00066,35,01,09003000278202,02,1,1,38,03,2018,0101,009,221,1,,,,,,5
09,003,0001,090030002824,2,09-003-0001-00,00067,35,04,09003000282401,01,1,3,29,12,2016,0301,009,435,3,05,2017,0301,3,,5
09,003,0001,090030002825,2,09-003-0001-00,00067,35,04,09003000282501,01,1,1,43,05,2018,0101,009,214,2,,,,,,5
